zipf,engine,keys,read_write_ratio,ops_per_txn,batch_size,threads,partitions,average_commit,total_commit
0.0,ariaer_cache_fix_v2,40000,80,100,1000,12,12,47709.8,47709.8
0.1,ariaer_cache_fix_v2,40000,80,100,1000,12,12,43240.5,43240.5
0.2,ariaer_cache_fix_v2,40000,80,100,1000,12,12,41754.6,41754.6
0.3,ariaer_cache_fix_v2,40000,80,100,1000,12,12,38145.7,38145.7
0.4,ariaer_cache_fix_v2,40000,80,100,1000,12,12,31604.5,31604.5
0.5,ariaer_cache_fix_v2,40000,80,100,1000,12,12,22251,22251
0.6,ariaer_cache_fix_v2,40000,80,100,1000,12,12,12827.4,12827.4
0.7,ariaer_cache_fix_v2,40000,80,100,1000,12,12,5821.5,5821.5
0.8,ariaer_cache_fix_v2,40000,80,100,1000,12,12,1916.8,1916.8
0.99,ariaer_cache_fix_v2,40000,80,100,1000,12,12,240.3,240.3
0.9,ariaer_cache_fix_v2,40000,80,100,1000,12,12,542.1,542.1
0.0,aria,40000,80,100,1000,12,12,41324.7,41324.7
0.1,aria,40000,80,100,1000,12,12,37587,37587
0.2,aria,40000,80,100,1000,12,12,35797.5,35797.5
0.3,aria,40000,80,100,1000,12,12,32289.6,32289.6
0.4,aria,40000,80,100,1000,12,12,25584.2,25584.2
0.5,aria,40000,80,100,1000,12,12,16468.8,16468.8
0.6,aria,40000,80,100,1000,12,12,7978.5,7978.5
0.7,aria,40000,80,100,1000,12,12,2814.1,2814.1
0.8,aria,40000,80,100,1000,12,12,811.8,811.8
0.99,aria,40000,80,100,1000,12,12,178.9,178.9
0.9,aria,40000,80,100,1000,12,12,287.6,287.6
