zipf,engine,keys,read_write_ratio,ops_per_txn,batch_size,threads,partitions,average_commit,total_commit
0.0,ariaer_cache_fix,40000,80,100,1000,48,12,96982.6,96982.6
0.2,ariaer_cache_fix,40000,80,100,1000,48,12,86940.6,86940.6
0.4,ariaer_cache_fix,40000,80,100,1000,48,12,65379.7,65379.7
0.6,ariaer_cache_fix,40000,80,100,1000,48,12,26340.4,26340.4
0.8,ariaer_cache_fix,40000,80,100,1000,48,12,3868,3868
0.9,ariaer_cache_fix,40000,80,100,1000,48,12,1090.8,1090.8
0.0,ariaer_cache_fix,40000,80,100,4000,48,12,27839.2,27839.2
0.2,ariaer_cache_fix,40000,80,100,4000,48,12,25003.1,25003.1
0.4,ariaer_cache_fix,40000,80,100,4000,48,12,18322.1,18322.1
0.6,ariaer_cache_fix,40000,80,100,4000,48,12,7365.8,7365.8
0.8,ariaer_cache_fix,40000,80,100,4000,48,12,995,995
0.9,ariaer_cache_fix,40000,80,100,4000,48,12,270.1,270.1
0.0,ariaer_cache_fix,40000,80,10,1000,48,12,1.31398e+06,1.31398e+06
0.2,ariaer_cache_fix,40000,80,10,1000,48,12,1.01149e+06,1.01149e+06
0.4,ariaer_cache_fix,40000,80,10,1000,48,12,995528,995528
0.6,ariaer_cache_fix,40000,80,10,1000,48,12,966401,966401
0.8,ariaer_cache_fix,40000,80,10,1000,48,12,744471,744471
0.9,ariaer_cache_fix,40000,80,10,1000,48,12,564854,564854
0.0,ariaer_cache_fix,40000,80,10,4000,48,12,1.32584e+06,1.32584e+06
0.2,ariaer_cache_fix,40000,80,10,4000,48,12,987407,987407
0.4,ariaer_cache_fix,40000,80,10,4000,48,12,982953,982953
0.6,ariaer_cache_fix,40000,80,10,4000,48,12,899699,899699
0.8,ariaer_cache_fix,40000,80,10,4000,48,12,633091,633091
0.9,ariaer_cache_fix,40000,80,10,4000,48,12,474896,474896
0.0,ariaer,40000,80,100,1000,48,12,100169,100169
0.2,ariaer,40000,80,100,1000,48,12,88799.7,88799.7
0.4,ariaer,40000,80,100,1000,48,12,66969.6,66969.6
0.6,ariaer,40000,80,100,1000,48,12,26826.7,26826.7
0.8,ariaer,40000,80,100,1000,48,12,3985.8,3985.8
0.9,ariaer,40000,80,100,1000,48,12,1123.3,1123.3
0.0,ariaer,40000,80,100,4000,48,12,28879.5,28879.5
0.2,ariaer,40000,80,100,4000,48,12,25394.6,25394.6
0.4,ariaer,40000,80,100,4000,48,12,18689,18689
0.6,ariaer,40000,80,100,4000,48,12,7484.8,7484.8
0.8,ariaer,40000,80,100,4000,48,12,1011.4,1011.4
0.9,ariaer,40000,80,100,4000,48,12,279.3,279.3
0.0,ariaer,40000,80,10,1000,48,12,1.52423e+06,1.52423e+06
0.2,ariaer,40000,80,10,1000,48,12,1.07649e+06,1.07649e+06
0.4,ariaer,40000,80,10,1000,48,12,1.07481e+06,1.07481e+06
0.6,ariaer,40000,80,10,1000,48,12,1.03002e+06,1.03002e+06
0.8,ariaer,40000,80,10,1000,48,12,806615,806615
0.9,ariaer,40000,80,10,1000,48,12,618167,618167
0.0,ariaer,40000,80,10,4000,48,12,1.53065e+06,1.53065e+06
0.2,ariaer,40000,80,10,4000,48,12,1.07352e+06,1.07352e+06
0.4,ariaer,40000,80,10,4000,48,12,1.05243e+06,1.05243e+06
0.6,ariaer,40000,80,10,4000,48,12,961036,961036
0.8,ariaer,40000,80,10,4000,48,12,684880,684880
0.9,ariaer,40000,80,10,4000,48,12,514687,514687
0.0,aria,40000,80,100,1000,48,12,88541.6,88541.6
0.2,aria,40000,80,100,1000,48,12,77663.4,77663.4
0.4,aria,40000,80,100,1000,48,12,55034.6,55034.6
0.6,aria,40000,80,100,1000,48,12,16791.8,16791.8
0.8,aria,40000,80,100,1000,48,12,1663.2,1663.2
0.9,aria,40000,80,100,1000,48,12,588.6,588.6
0.0,aria,40000,80,100,4000,48,12,21303.5,21303.5
0.2,aria,40000,80,100,4000,48,12,18796.3,18796.3
0.4,aria,40000,80,100,4000,48,12,13154.6,13154.6
0.6,aria,40000,80,100,4000,48,12,3983.5,3983.5
0.8,aria,40000,80,100,4000,48,12,404.4,404.4
0.9,aria,40000,80,100,4000,48,12,136.2,136.2
0.0,aria,40000,80,10,1000,48,12,1.57688e+06,1.57688e+06
0.2,aria,40000,80,10,1000,48,12,1.0775e+06,1.0775e+06
0.4,aria,40000,80,10,1000,48,12,1.07836e+06,1.07836e+06
0.6,aria,40000,80,10,1000,48,12,1.04766e+06,1.04766e+06
0.8,aria,40000,80,10,1000,48,12,795832,795832
0.9,aria,40000,80,10,1000,48,12,593546,593546
0.0,aria,40000,80,10,4000,48,12,1.55554e+06,1.55554e+06
0.2,aria,40000,80,10,4000,48,12,1.07e+06,1.07e+06
0.4,aria,40000,80,10,4000,48,12,1.05865e+06,1.05865e+06
0.6,aria,40000,80,10,4000,48,12,973184,973184
0.8,aria,40000,80,10,4000,48,12,644044,644044
0.9,aria,40000,80,10,4000,48,12,477886,477886
