query	engine	partitions	threads	batch_size	neworder_dist	payment_dist	n_district	average_commit
mixed	aria_abort_lock_fix	12	12	1000	10	15	10	92842.4
mixed	aria_abort_lock_fix	12	12	4000	10	15	10	32808
neworder	aria_abort_lock_fix	12	12	1000	10	15	10	84979.9
neworder	aria_abort_lock_fix	12	12	4000	10	15	10	24250.2
payment	aria_abort_lock_fix	12	12	1000	10	15	10	212875
payment	aria_abort_lock_fix	12	12	4000	10	15	10	96127.7
mixed	ariaer_abort_lock_fix	12	12	1000	10	15	10	93187.3
mixed	ariaer_abort_lock_fix	12	12	4000	10	15	10	33539.2
neworder	ariaer_abort_lock_fix	12	12	1000	10	15	10	82069.7
neworder	ariaer_abort_lock_fix	12	12	4000	10	15	10	23091.1
payment	ariaer_abort_lock_fix	12	12	1000	10	15	10	222230
payment	ariaer_abort_lock_fix	12	12	4000	10	15	10	110934
mixed	ariaer_cache_fix_v2_abort_lock_fix	12	12	1000	10	15	10	93346.3
mixed	ariaer_cache_fix_v2_abort_lock_fix	12	12	4000	10	15	10	33558
neworder	ariaer_cache_fix_v2_abort_lock_fix	12	12	1000	10	15	10	81979.5
neworder	ariaer_cache_fix_v2_abort_lock_fix	12	12	4000	10	15	10	23028.7
payment	ariaer_cache_fix_v2_abort_lock_fix	12	12	1000	10	15	10	221740
payment	ariaer_cache_fix_v2_abort_lock_fix	12	12	4000	10	15	10	110879
