query,engine,threads,partitions,batch_size,neworder_dist,payment_dist,n_district,average_commit,total_commit
mixed,aria_abort_lock_fix,12,12,1000,10,15,10,93065.4,93065.4
mixed,aria_abort_lock_fix,12,12,4000,10,15,10,32548.7,32548.7
neworder,aria_abort_lock_fix,12,12,1000,10,15,10,85434.7,85434.7
neworder,aria_abort_lock_fix,12,12,4000,10,15,10,24089.1,24089.1
payment,aria_abort_lock_fix,12,12,1000,10,15,10,212097,212097
payment,aria_abort_lock_fix,12,12,4000,10,15,10,96498.5,96498.5
mixed,ariaer_abort_lock_fix,12,12,1000,10,15,10,93460,93460
mixed,ariaer_abort_lock_fix,12,12,4000,10,15,10,33490.9,33490.9
neworder,ariaer_abort_lock_fix,12,12,1000,10,15,10,81986.6,81986.6
neworder,ariaer_abort_lock_fix,12,12,4000,10,15,10,23048.5,23048.5
payment,ariaer_abort_lock_fix,12,12,1000,10,15,10,222654,222654
payment,ariaer_abort_lock_fix,12,12,4000,10,15,10,111448,111448
mixed,ariaer_ariafb_abort_lock_fix,12,12,1000,10,15,10,379398,379398
mixed,ariaer_ariafb_abort_lock_fix,12,12,4000,10,15,10,345228,345228
neworder,ariaer_ariafb_abort_lock_fix,12,12,1000,10,15,10,319144,319144
neworder,ariaer_ariafb_abort_lock_fix,12,12,4000,10,15,10,284723,284723
payment,ariaer_ariafb_abort_lock_fix,12,12,1000,10,15,10,826686,826686
payment,ariaer_ariafb_abort_lock_fix,12,12,4000,10,15,10,823072,823072
mixed,ariaer_cache_fix_v2_abort_lock_fix,12,12,1000,10,15,10,93452.3,93452.3
mixed,ariaer_cache_fix_v2_abort_lock_fix,12,12,4000,10,15,10,33543.2,33543.2
neworder,ariaer_cache_fix_v2_abort_lock_fix,12,12,1000,10,15,10,82067.3,82067.3
neworder,ariaer_cache_fix_v2_abort_lock_fix,12,12,4000,10,15,10,23187.7,23187.7
payment,ariaer_cache_fix_v2_abort_lock_fix,12,12,1000,10,15,10,222719,222719
payment,ariaer_cache_fix_v2_abort_lock_fix,12,12,4000,10,15,10,110648,110648
mixed,ariaer_cache_fix_v2_ariafb_abort_lock_fix,12,12,1000,10,15,10,378602,378602
mixed,ariaer_cache_fix_v2_ariafb_abort_lock_fix,12,12,4000,10,15,10,345096,345096
neworder,ariaer_cache_fix_v2_ariafb_abort_lock_fix,12,12,1000,10,15,10,320315,320315
neworder,ariaer_cache_fix_v2_ariafb_abort_lock_fix,12,12,4000,10,15,10,286002,286002
payment,ariaer_cache_fix_v2_ariafb_abort_lock_fix,12,12,1000,10,15,10,828303,828303
payment,ariaer_cache_fix_v2_ariafb_abort_lock_fix,12,12,4000,10,15,10,823252,823252
mixed,ariafb_abort_lock_fix,12,12,1000,10,15,10,381137,381137
mixed,ariafb_abort_lock_fix,12,12,4000,10,15,10,346387,346387
neworder,ariafb_abort_lock_fix,12,12,1000,10,15,10,321006,321006
neworder,ariafb_abort_lock_fix,12,12,4000,10,15,10,286166,286166
payment,ariafb_abort_lock_fix,12,12,1000,10,15,10,828945,828945
payment,ariafb_abort_lock_fix,12,12,4000,10,15,10,819784,819784
