zipf,engine,keys,read_write_ratio,ops_per_txn,batch_size,threads,partitions,average_commit,total_commit
0.0,aria_abort_lock_fix,10000,50,100,1000,12,10,3083.8,3083.8
0.2,aria_abort_lock_fix,10000,50,100,1000,12,10,3007,3007
0.4,aria_abort_lock_fix,10000,50,100,1000,12,10,2587.2,2587.2
0.6,aria_abort_lock_fix,10000,50,100,1000,12,10,1342.8,1342.8
0.8,aria_abort_lock_fix,10000,50,100,1000,12,10,334.7,334.7
0.9,aria_abort_lock_fix,10000,50,100,1000,12,10,198.8,198.8
0.0,aria_abort_lock_fix,10000,50,100,4000,12,10,926,926
0.2,aria_abort_lock_fix,10000,50,100,4000,12,10,876.6,876.6
0.4,aria_abort_lock_fix,10000,50,100,4000,12,10,578.5,578.5
0.6,aria_abort_lock_fix,10000,50,100,4000,12,10,73.5,73.5
0.8,aria_abort_lock_fix,10000,50,100,4000,12,10,27.9,27.9
0.9,aria_abort_lock_fix,10000,50,100,4000,12,10,25.6,25.6
0.0,aria_abort_lock_fix,10000,50,10,1000,12,10,541952,541952
0.2,aria_abort_lock_fix,10000,50,10,1000,12,10,383299,383299
0.4,aria_abort_lock_fix,10000,50,10,1000,12,10,251770,251770
0.6,aria_abort_lock_fix,10000,50,10,1000,12,10,97984.2,97984.2
0.8,aria_abort_lock_fix,10000,50,10,1000,12,10,54680.9,54680.9
0.9,aria_abort_lock_fix,10000,50,10,1000,12,10,42285.4,42285.4
0.0,aria_abort_lock_fix,10000,50,10,4000,12,10,274483,274483
0.2,aria_abort_lock_fix,10000,50,10,4000,12,10,218728,218728
0.4,aria_abort_lock_fix,10000,50,10,4000,12,10,85928.3,85928.3
0.6,aria_abort_lock_fix,10000,50,10,4000,12,10,35788.4,35788.4
0.8,aria_abort_lock_fix,10000,50,10,4000,12,10,23070.8,23070.8
0.9,aria_abort_lock_fix,10000,50,10,4000,12,10,16302.5,16302.5
0.0,aria_abort_lock_fix,10000,80,100,1000,12,10,10483.6,10483.6
0.2,aria_abort_lock_fix,10000,80,100,1000,12,10,10149.5,10149.5
0.4,aria_abort_lock_fix,10000,80,100,1000,12,10,8580.5,8580.5
0.6,aria_abort_lock_fix,10000,80,100,1000,12,10,5882.4,5882.4
0.8,aria_abort_lock_fix,10000,80,100,1000,12,10,2178.6,2178.6
0.9,aria_abort_lock_fix,10000,80,100,1000,12,10,1219.5,1219.5
0.0,aria_abort_lock_fix,10000,80,100,4000,12,10,3340.4,3340.4
0.2,aria_abort_lock_fix,10000,80,100,4000,12,10,3279.5,3279.5
0.4,aria_abort_lock_fix,10000,80,100,4000,12,10,2854.6,2854.6
0.6,aria_abort_lock_fix,10000,80,100,4000,12,10,1571.9,1571.9
0.8,aria_abort_lock_fix,10000,80,100,4000,12,10,130.8,130.8
0.9,aria_abort_lock_fix,10000,80,100,4000,12,10,84.3,84.3
0.0,aria_abort_lock_fix,10000,80,10,1000,12,10,833278,833278
0.2,aria_abort_lock_fix,10000,80,10,1000,12,10,517861,517861
0.4,aria_abort_lock_fix,10000,80,10,1000,12,10,507125,507125
0.6,aria_abort_lock_fix,10000,80,10,1000,12,10,249498,249498
0.8,aria_abort_lock_fix,10000,80,10,1000,12,10,135038,135038
0.9,aria_abort_lock_fix,10000,80,10,1000,12,10,113168,113168
0.0,aria_abort_lock_fix,10000,80,10,4000,12,10,699881,699881
0.2,aria_abort_lock_fix,10000,80,10,4000,12,10,460392,460392
0.4,aria_abort_lock_fix,10000,80,10,4000,12,10,255839,255839
0.6,aria_abort_lock_fix,10000,80,10,4000,12,10,99961.6,99961.6
0.8,aria_abort_lock_fix,10000,80,10,4000,12,10,62634.2,62634.2
0.9,aria_abort_lock_fix,10000,80,10,4000,12,10,54423.8,54423.8
0.0,ariaer_abort_lock_fix,10000,50,100,1000,12,10,3972.6,3972.6
0.2,ariaer_abort_lock_fix,10000,50,100,1000,12,10,3886.2,3886.2
0.4,ariaer_abort_lock_fix,10000,50,100,1000,12,10,3442,3442
0.6,ariaer_abort_lock_fix,10000,50,100,1000,12,10,1963.7,1963.7
0.8,ariaer_abort_lock_fix,10000,50,100,1000,12,10,482.1,482.1
0.9,ariaer_abort_lock_fix,10000,50,100,1000,12,10,267.4,267.4
0.0,ariaer_abort_lock_fix,10000,50,100,4000,12,10,1125.5,1125.5
0.2,ariaer_abort_lock_fix,10000,50,100,4000,12,10,1124.7,1124.7
0.4,ariaer_abort_lock_fix,10000,50,100,4000,12,10,859.2,859.2
0.6,ariaer_abort_lock_fix,10000,50,100,4000,12,10,90.1,90.1
0.8,ariaer_abort_lock_fix,10000,50,100,4000,12,10,30.7,30.7
0.9,ariaer_abort_lock_fix,10000,50,100,4000,12,10,28,28
0.0,ariaer_abort_lock_fix,10000,50,10,1000,12,10,536468,536468
0.2,ariaer_abort_lock_fix,10000,50,10,1000,12,10,381342,381342
