zipf,engine,commit_rate,avg_batch_commit,avg_batch_abort,total_batches
0.0,aria,0.346593,28.8827,54.4506,35136
0.1,aria,0.342946,28.5788,54.7545,32220
0.2,aria,0.3284,27.3667,55.9666,32220
0.3,aria,0.293941,24.4951,58.8382,32352
0.4,aria,0.230779,19.2316,64.1018,32748
0.5,aria,0.145573,12.1311,71.2022,33384
0.6,aria,0.0684495,5.70413,77.6292,34356
0.7,aria,0.0233975,1.94979,81.3835,35592
0.8,aria,0.00642613,0.535511,82.7978,37200
0.9,aria,0.00215521,0.179601,83.1537,39120
0.99,aria,0.00128382,0.106985,83.2263,40800
0.0,ariaer_cache_fix_v2,0.395988,32.999,50.3344,35892
0.1,ariaer_cache_fix_v2,0.392261,32.6884,50.6449,33024
0.2,ariaer_cache_fix_v2,0.377777,31.4814,51.8519,32964
0.3,ariaer_cache_fix_v2,0.343446,28.6205,54.7128,33180
0.4,ariaer_cache_fix_v2,0.280046,23.3372,59.9962,33744
0.5,ariaer_cache_fix_v2,0.191626,15.9688,67.3645,34740
0.6,ariaer_cache_fix_v2,0.105303,8.77528,74.5581,36360
0.7,ariaer_cache_fix_v2,0.0454107,3.78422,79.5491,38280
0.8,ariaer_cache_fix_v2,0.0141085,1.17571,82.1576,40464
0.9,ariaer_cache_fix_v2,0.00383756,0.319796,83.0135,42624
0.99,ariaer_cache_fix_v2,0.00165026,0.137521,83.1958,44364
