zipf,engine,keys,read_write_ratio,ops_per_txn,batch_size,threads,partitions,throughput,total_commit
0.0,ariaer_cache_fix_v2,40000,95,100,10000,12,12,32209.7,32209.7
0.1,ariaer_cache_fix_v2,40000,95,100,10000,12,12,28137,28137
0.2,ariaer_cache_fix_v2,40000,95,100,10000,12,12,27471.6,27471.6
0.3,ariaer_cache_fix_v2,40000,95,100,10000,12,12,25582.4,25582.4
0.4,ariaer_cache_fix_v2,40000,95,100,10000,12,12,22806.7,22806.7
0.5,ariaer_cache_fix_v2,40000,95,100,10000,12,12,19425,19425
0.6,ariaer_cache_fix_v2,40000,95,100,10000,12,12,16674.3,16674.3
0.7,ariaer_cache_fix_v2,40000,95,100,10000,12,12,15189.9,15189.9
0.8,ariaer_cache_fix_v2,40000,95,100,10000,12,12,13906.6,13906.6
0.99,ariaer_cache_fix_v2,40000,95,100,10000,12,12,9084,9084
0.9,ariaer_cache_fix_v2,40000,95,100,10000,12,12,11585.7,11585.7
0.0,ariaer_cache_fix_v2,40000,95,100,1000,12,12,139361,139361
0.1,ariaer_cache_fix_v2,40000,95,100,1000,12,12,122960,122960
0.2,ariaer_cache_fix_v2,40000,95,100,1000,12,12,121311,121311
0.3,ariaer_cache_fix_v2,40000,95,100,1000,12,12,117432,117432
0.4,ariaer_cache_fix_v2,40000,95,100,1000,12,12,108596,108596
0.5,ariaer_cache_fix_v2,40000,95,100,1000,12,12,91108.7,91108.7
0.6,ariaer_cache_fix_v2,40000,95,100,1000,12,12,68267.5,68267.5
0.7,ariaer_cache_fix_v2,40000,95,100,1000,12,12,50025.9,50025.9
0.8,ariaer_cache_fix_v2,40000,95,100,1000,12,12,36209.8,36209.8
0.99,ariaer_cache_fix_v2,40000,95,100,1000,12,12,18109.7,18109.7
0.9,ariaer_cache_fix_v2,40000,95,100,1000,12,12,25421.4,25421.4
0.0,ariaer_cache_fix_v2,40000,95,100,2000,12,12,104283,104283
0.1,ariaer_cache_fix_v2,40000,95,100,2000,12,12,91962.3,91962.3
0.2,ariaer_cache_fix_v2,40000,95,100,2000,12,12,89790.6,89790.6
0.3,ariaer_cache_fix_v2,40000,95,100,2000,12,12,84876.7,84876.7
0.4,ariaer_cache_fix_v2,40000,95,100,2000,12,12,75626.6,75626.6
0.5,ariaer_cache_fix_v2,40000,95,100,2000,12,12,60775.4,60775.4
0.6,ariaer_cache_fix_v2,40000,95,100,2000,12,12,46438.5,46438.5
0.7,ariaer_cache_fix_v2,40000,95,100,2000,12,12,35990.4,35990.4
0.8,ariaer_cache_fix_v2,40000,95,100,2000,12,12,27330.4,27330.4
0.99,ariaer_cache_fix_v2,40000,95,100,2000,12,12,14529.1,14529.1
0.9,ariaer_cache_fix_v2,40000,95,100,2000,12,12,19976.5,19976.5
0.0,ariaer_cache_fix_v2,40000,95,100,3000,12,12,81595.4,81595.4
0.1,ariaer_cache_fix_v2,40000,95,100,3000,12,12,72110,72110
0.2,ariaer_cache_fix_v2,40000,95,100,3000,12,12,69978.5,69978.5
0.3,ariaer_cache_fix_v2,40000,95,100,3000,12,12,65491.3,65491.3
