I0331 01:24:00.940692 853267 Database.h:65] ycsb initialization finished in 99 milliseconds.
I0331 01:24:00.940913 853267 Coordinator.h:30] Coordinator initializes 12 workers.
I0331 01:24:00.977895 853267 Coordinator.h:77] Coordinator starts to run 13 workers.
I0331 01:24:00.977988 853286 AriaExecutor.h:82] AriaExecutor 0 started. 
I0331 01:24:00.978044 853287 AriaExecutor.h:82] AriaExecutor 1 started. 
I0331 01:24:00.978168 853288 AriaExecutor.h:82] AriaExecutor 2 started. 
I0331 01:24:00.978312 853289 AriaExecutor.h:82] AriaExecutor 3 started. 
I0331 01:24:00.978343 853290 AriaExecutor.h:82] AriaExecutor 4 started. 
I0331 01:24:00.978470 853291 AriaExecutor.h:82] AriaExecutor 5 started. 
I0331 01:24:00.978600 853292 AriaExecutor.h:82] AriaExecutor 6 started. 
I0331 01:24:00.978731 853293 AriaExecutor.h:82] AriaExecutor 7 started. 
I0331 01:24:00.978854 853294 AriaExecutor.h:82] AriaExecutor 8 started. 
I0331 01:24:00.978902 853295 AriaExecutor.h:82] AriaExecutor 9 started. 
I0331 01:24:00.978996 853296 AriaExecutor.h:82] AriaExecutor 10 started. 
I0331 01:24:00.979081 853297 AriaExecutor.h:82] AriaExecutor 11 started. 
I0331 01:24:00.979199 853298 Manager.h:224] Manager(worker id = 12) on the coordinator node started.
I0331 01:24:01.979204 853267 Coordinator.h:126] commit: 236 abort: 114764 (0/114764/0), network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %
I0331 01:24:02.979364 853267 Coordinator.h:126] commit: 262 abort: 123738 (0/123738/0), network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %
I0331 01:24:03.979559 853267 Coordinator.h:126] commit: 298 abort: 131702 (0/131702/0), network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %
I0331 01:24:04.979722 853267 Coordinator.h:126] commit: 268 abort: 132732 (0/132732/0), network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %
I0331 01:24:05.979888 853267 Coordinator.h:126] commit: 286 abort: 132714 (0/132714/0), network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %
I0331 01:24:06.980054 853267 Coordinator.h:126] commit: 268 abort: 131732 (0/131732/0), network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %
I0331 01:24:07.980190 853267 Coordinator.h:126] commit: 277 abort: 131723 (0/131723/0), network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %
I0331 01:24:08.980370 853267 Coordinator.h:126] commit: 288 abort: 132712 (0/132712/0), network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %
I0331 01:24:09.980530 853267 Coordinator.h:126] commit: 290 abort: 132710 (0/132710/0), network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %
I0331 01:24:10.980692 853267 Coordinator.h:126] commit: 281 abort: 132719 (0/132719/0), network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %
I0331 01:24:11.980832 853267 Coordinator.h:126] commit: 286 abort: 131714 (0/131714/0), network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %
I0331 01:24:12.980957 853267 Coordinator.h:126] commit: 281 abort: 132719 (0/132719/0), network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %
I0331 01:24:13.981074 853267 Coordinator.h:126] commit: 274 abort: 132726 (0/132726/0), network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %
I0331 01:24:14.981199 853267 Coordinator.h:126] commit: 286 abort: 131714 (0/131714/0), network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %
I0331 01:24:15.981351 853267 Coordinator.h:126] commit: 290 abort: 132710 (0/132710/0), network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %
I0331 01:24:16.981498 853267 Coordinator.h:126] commit: 291 abort: 131709 (0/131709/0), network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %
I0331 01:24:17.981700 853267 Coordinator.h:126] commit: 287 abort: 132713 (0/132713/0), network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %
