zipf,engine,keys,read_write_ratio,ops_per_txn,batch_size,threads,partitions,throughput,total_commit
0.0,ariaer_cache_fix_v2,40000,80,100,10000,12,12,6116.5,6116.5
0.1,ariaer_cache_fix_v2,40000,80,100,10000,12,12,5407,5407
0.2,ariaer_cache_fix_v2,40000,80,100,10000,12,12,5171.3,5171.3
0.3,ariaer_cache_fix_v2,40000,80,100,10000,12,12,4746.3,4746.3
0.4,ariaer_cache_fix_v2,40000,80,100,10000,12,12,3854.5,3854.5
0.5,ariaer_cache_fix_v2,40000,80,100,10000,12,12,2662.5,2662.5
0.6,ariaer_cache_fix_v2,40000,80,100,10000,12,12,1526.5,1526.5
0.7,ariaer_cache_fix_v2,40000,80,100,10000,12,12,659.1,659.1
0.8,ariaer_cache_fix_v2,40000,80,100,10000,12,12,211,211
0.0,ariaer_cache_fix_v2,40000,80,100,1000,12,12,47681.7,47681.7
0.1,ariaer_cache_fix_v2,40000,80,100,1000,12,12,43298.2,43298.2
0.2,ariaer_cache_fix_v2,40000,80,100,1000,12,12,41728.4,41728.4
0.3,ariaer_cache_fix_v2,40000,80,100,1000,12,12,38165.6,38165.6
0.4,ariaer_cache_fix_v2,40000,80,100,1000,12,12,31732.2,31732.2
0.5,ariaer_cache_fix_v2,40000,80,100,1000,12,12,22291.4,22291.4
0.6,ariaer_cache_fix_v2,40000,80,100,1000,12,12,12816.8,12816.8
0.7,ariaer_cache_fix_v2,40000,80,100,1000,12,12,5795.7,5795.7
0.8,ariaer_cache_fix_v2,40000,80,100,1000,12,12,1878,1878
0.0,ariaer_cache_fix_v2,40000,80,100,2000,12,12,26886.1,26886.1
0.1,ariaer_cache_fix_v2,40000,80,100,2000,12,12,24377.5,24377.5
0.2,ariaer_cache_fix_v2,40000,80,100,2000,12,12,23300.2,23300.2
0.3,ariaer_cache_fix_v2,40000,80,100,2000,12,12,21063.1,21063.1
0.4,ariaer_cache_fix_v2,40000,80,100,2000,12,12,17385.1,17385.1
0.5,ariaer_cache_fix_v2,40000,80,100,2000,12,12,12109.6,12109.6
0.6,ariaer_cache_fix_v2,40000,80,100,2000,12,12,7001.8,7001.8
0.7,ariaer_cache_fix_v2,40000,80,100,2000,12,12,3114.5,3114.5
0.8,ariaer_cache_fix_v2,40000,80,100,2000,12,12,995.4,995.4
0.0,ariaer_cache_fix_v2,40000,80,100,3000,12,12,18803.4,18803.4
0.1,ariaer_cache_fix_v2,40000,80,100,3000,12,12,16954.5,16954.5
0.2,ariaer_cache_fix_v2,40000,80,100,3000,12,12,16315.7,16315.7
0.3,ariaer_cache_fix_v2,40000,80,100,3000,12,12,14700.8,14700.8
0.4,ariaer_cache_fix_v2,40000,80,100,3000,12,12,12015.9,12015.9
0.5,ariaer_cache_fix_v2,40000,80,100,3000,12,12,8472,8472
0.6,ariaer_cache_fix_v2,40000,80,100,3000,12,12,4845.2,4845.2
0.7,ariaer_cache_fix_v2,40000,80,100,3000,12,12,2170.4,2170.4
0.8,ariaer_cache_fix_v2,40000,80,100,3000,12,12,677.7,677.7
0.0,ariaer_cache_fix_v2,40000,80,100,4000,12,12,14493.1,14493.1
0.1,ariaer_cache_fix_v2,40000,80,100,4000,12,12,12999.4,12999.4
0.2,ariaer_cache_fix_v2,40000,80,100,4000,12,12,12462.2,12462.2
0.3,ariaer_cache_fix_v2,40000,80,100,4000,12,12,11302.2,11302.2
0.4,ariaer_cache_fix_v2,40000,80,100,4000,12,12,9204.8,9204.8
0.5,ariaer_cache_fix_v2,40000,80,100,4000,12,12,6421.8,6421.8
0.6,ariaer_cache_fix_v2,40000,80,100,4000,12,12,3716.7,3716.7
0.7,ariaer_cache_fix_v2,40000,80,100,4000,12,12,1644.2,1644.2
0.8,ariaer_cache_fix_v2,40000,80,100,4000,12,12,506.2,506.2
0.0,ariaer_cache_fix_v2,40000,80,100,5000,12,12,11729.4,11729.4
0.1,ariaer_cache_fix_v2,40000,80,100,5000,12,12,10599,10599
0.2,ariaer_cache_fix_v2,40000,80,100,5000,12,12,10056.7,10056.7
0.3,ariaer_cache_fix_v2,40000,80,100,5000,12,12,9130.5,9130.5
0.4,ariaer_cache_fix_v2,40000,80,100,5000,12,12,7481.2,7481.2
