zipf,engine,keys,read_write_ratio,ops_per_txn,batch_size,threads,partitions,throughput,total_commit
0.0,aria_abort_lock_fix,40000,95,100,10000,12,12,18496.3,18496.3
0.1,aria_abort_lock_fix,40000,95,100,10000,12,12,17788.1,17788.1
0.2,aria_abort_lock_fix,40000,95,100,10000,12,12,17036,17036
0.3,aria_abort_lock_fix,40000,95,100,10000,12,12,15049.3,15049.3
0.4,aria_abort_lock_fix,40000,95,100,10000,12,12,11430.3,11430.3
0.5,aria_abort_lock_fix,40000,95,100,10000,12,12,7156.4,7156.4
0.6,aria_abort_lock_fix,40000,95,100,10000,12,12,4870.7,4870.7
0.7,aria_abort_lock_fix,40000,95,100,10000,12,12,3882,3882
0.8,aria_abort_lock_fix,40000,95,100,10000,12,12,2098.2,2098.2
0.9,aria_abort_lock_fix,40000,95,100,10000,12,12,1478,1478
0.99,aria_abort_lock_fix,40000,95,100,10000,12,12,1031.9,1031.9
0.0,aria_abort_lock_fix,40000,95,100,1000,12,12,121897,121897
0.1,aria_abort_lock_fix,40000,95,100,1000,12,12,111734,111734
0.2,aria_abort_lock_fix,40000,95,100,1000,12,12,110274,110274
0.3,aria_abort_lock_fix,40000,95,100,1000,12,12,106077,106077
0.4,aria_abort_lock_fix,40000,95,100,1000,12,12,92701.9,92701.9
0.5,aria_abort_lock_fix,40000,95,100,1000,12,12,51333.6,51333.6
0.6,aria_abort_lock_fix,40000,95,100,1000,12,12,25581.3,25581.3
0.7,aria_abort_lock_fix,40000,95,100,1000,12,12,17963.3,17963.3
0.8,aria_abort_lock_fix,40000,95,100,1000,12,12,15795.3,15795.3
0.9,aria_abort_lock_fix,40000,95,100,1000,12,12,14845.4,14845.4
0.99,aria_abort_lock_fix,40000,95,100,1000,12,12,12979.4,12979.4
0.0,aria_abort_lock_fix,40000,95,100,2000,12,12,81762.8,81762.8
0.1,aria_abort_lock_fix,40000,95,100,2000,12,12,76470.6,76470.6
0.2,aria_abort_lock_fix,40000,95,100,2000,12,12,73819.4,73819.4
0.3,aria_abort_lock_fix,40000,95,100,2000,12,12,66816.2,66816.2
0.4,aria_abort_lock_fix,40000,95,100,2000,12,12,50718.7,50718.7
0.5,aria_abort_lock_fix,40000,95,100,2000,12,12,25707.1,25707.1
0.6,aria_abort_lock_fix,40000,95,100,2000,12,12,14253.9,14253.9
0.7,aria_abort_lock_fix,40000,95,100,2000,12,12,10965.7,10965.7
0.8,aria_abort_lock_fix,40000,95,100,2000,12,12,10084.2,10084.2
0.9,aria_abort_lock_fix,40000,95,100,2000,12,12,9185.8,9185.8
0.99,aria_abort_lock_fix,40000,95,100,2000,12,12,7774.5,7774.5
