zipf,engine,keys,read_write_ratio,ops_per_txn,batch_size,threads,partitions,average_commit,total_commit
0.0,aria_abort_lock_fix,40000,50,10,1000,12,12,536140,536140
0.1,aria_abort_lock_fix,40000,50,10,1000,12,12,384098,384098
0.2,aria_abort_lock_fix,40000,50,10,1000,12,12,384850,384850
0.3,aria_abort_lock_fix,40000,50,10,1000,12,12,383652,383652
0.4,aria_abort_lock_fix,40000,50,10,1000,12,12,374856,374856
0.5,aria_abort_lock_fix,40000,50,10,1000,12,12,231647,231647
0.6,aria_abort_lock_fix,40000,50,10,1000,12,12,137906,137906
0.7,aria_abort_lock_fix,40000,50,10,1000,12,12,87826.9,87826.9
0.8,aria_abort_lock_fix,40000,50,10,1000,12,12,62935.8,62935.8
0.99,aria_abort_lock_fix,40000,50,10,1000,12,12,37145.2,37145.2
0.9,aria_abort_lock_fix,40000,50,10,1000,12,12,49238.2,49238.2
0.0,aria_abort_lock_fix,40000,80,10,1000,12,12,764479,764479
0.1,aria_abort_lock_fix,40000,80,10,1000,12,12,498916,498916
0.2,aria_abort_lock_fix,40000,80,10,1000,12,12,502412,502412
0.3,aria_abort_lock_fix,40000,80,10,1000,12,12,501112,501112
0.4,aria_abort_lock_fix,40000,80,10,1000,12,12,499482,499482
0.5,aria_abort_lock_fix,40000,80,10,1000,12,12,468454,468454
0.6,aria_abort_lock_fix,40000,80,10,1000,12,12,318541,318541
0.7,aria_abort_lock_fix,40000,80,10,1000,12,12,214022,214022
0.8,aria_abort_lock_fix,40000,80,10,1000,12,12,152738,152738
0.99,aria_abort_lock_fix,40000,80,10,1000,12,12,104611,104611
0.9,aria_abort_lock_fix,40000,80,10,1000,12,12,121060,121060
0.0,ariaer_cache_fix_v2_abort_lock_fix,40000,50,10,1000,12,12,526619,526619
0.1,ariaer_cache_fix_v2_abort_lock_fix,40000,50,10,1000,12,12,380989,380989
0.2,ariaer_cache_fix_v2_abort_lock_fix,40000,50,10,1000,12,12,380303,380303
0.3,ariaer_cache_fix_v2_abort_lock_fix,40000,50,10,1000,12,12,379107,379107
0.4,ariaer_cache_fix_v2_abort_lock_fix,40000,50,10,1000,12,12,370672,370672
0.5,ariaer_cache_fix_v2_abort_lock_fix,40000,50,10,1000,12,12,237003,237003
0.6,ariaer_cache_fix_v2_abort_lock_fix,40000,50,10,1000,12,12,145809,145809
0.7,ariaer_cache_fix_v2_abort_lock_fix,40000,50,10,1000,12,12,95826.1,95826.1
0.8,ariaer_cache_fix_v2_abort_lock_fix,40000,50,10,1000,12,12,70010,70010
0.99,ariaer_cache_fix_v2_abort_lock_fix,40000,50,10,1000,12,12,44633.1,44633.1
0.9,ariaer_cache_fix_v2_abort_lock_fix,40000,50,10,1000,12,12,56015,56015
0.0,ariaer_cache_fix_v2_abort_lock_fix,40000,80,10,1000,12,12,787368,787368
0.1,ariaer_cache_fix_v2_abort_lock_fix,40000,80,10,1000,12,12,500429,500429
0.2,ariaer_cache_fix_v2_abort_lock_fix,40000,80,10,1000,12,12,499275,499275
0.3,ariaer_cache_fix_v2_abort_lock_fix,40000,80,10,1000,12,12,496530,496530
0.4,ariaer_cache_fix_v2_abort_lock_fix,40000,80,10,1000,12,12,494719,494719
0.5,ariaer_cache_fix_v2_abort_lock_fix,40000,80,10,1000,12,12,469781,469781
0.6,ariaer_cache_fix_v2_abort_lock_fix,40000,80,10,1000,12,12,337461,337461
0.7,ariaer_cache_fix_v2_abort_lock_fix,40000,80,10,1000,12,12,243651,243651
0.8,ariaer_cache_fix_v2_abort_lock_fix,40000,80,10,1000,12,12,185125,185125
0.99,ariaer_cache_fix_v2_abort_lock_fix,40000,80,10,1000,12,12,128374,128374
0.9,ariaer_cache_fix_v2_abort_lock_fix,40000,80,10,1000,12,12,148598,148598
