zipf,engine,keys,read_write_ratio,ops_per_txn,batch_size,threads,partitions,average_commit,total_commit
0.0,aria_abort_lock_fix,40000,80,100,1000,12,12,31880.3,31880.3
0.1,aria_abort_lock_fix,40000,80,100,1000,12,12,30932,30932
0.2,aria_abort_lock_fix,40000,80,100,1000,12,12,29515.5,29515.5
0.3,aria_abort_lock_fix,40000,80,100,1000,12,12,26050.5,26050.5
0.4,aria_abort_lock_fix,40000,80,100,1000,12,12,18922,18922
0.5,aria_abort_lock_fix,40000,80,100,1000,12,12,10734.7,10734.7
0.6,aria_abort_lock_fix,40000,80,100,1000,12,12,7451,7451
0.7,aria_abort_lock_fix,40000,80,100,1000,12,12,6015.5,6015.5
0.8,aria_abort_lock_fix,40000,80,100,1000,12,12,3786,3786
0.99,aria_abort_lock_fix,40000,80,100,1000,12,12,1095,1095
0.9,aria_abort_lock_fix,40000,80,100,1000,12,12,1844.9,1844.9
0.0,ariaer_cache_fix_v2_abort_lock_fix,40000,80,100,1000,12,12,42942.8,42942.8
0.1,ariaer_cache_fix_v2_abort_lock_fix,40000,80,100,1000,12,12,41191.5,41191.5
0.2,ariaer_cache_fix_v2_abort_lock_fix,40000,80,100,1000,12,12,40046.6,40046.6
0.3,ariaer_cache_fix_v2_abort_lock_fix,40000,80,100,1000,12,12,36436.5,36436.5
0.4,ariaer_cache_fix_v2_abort_lock_fix,40000,80,100,1000,12,12,27641.3,27641.3
0.5,ariaer_cache_fix_v2_abort_lock_fix,40000,80,100,1000,12,12,15248.6,15248.6
0.6,ariaer_cache_fix_v2_abort_lock_fix,40000,80,100,1000,12,12,10400.9,10400.9
0.7,ariaer_cache_fix_v2_abort_lock_fix,40000,80,100,1000,12,12,8485.4,8485.4
0.8,ariaer_cache_fix_v2_abort_lock_fix,40000,80,100,1000,12,12,6875.1,6875.1
0.99,ariaer_cache_fix_v2_abort_lock_fix,40000,80,100,1000,12,12,2216.3,2216.3
0.9,ariaer_cache_fix_v2_abort_lock_fix,40000,80,100,1000,12,12,4182.8,4182.8
