zipf,engine,keys,read_write_ratio,ops_per_txn,batch_size,threads,partitions,average_commit,total_commit
0.999,aria_abort_lock_fix,40000,50,10,1000,12,12,35767.9,35767.9
0.999,aria_abort_lock_fix,40000,80,10,1000,12,12,103174,103174
0.999,aria_abort_lock_fix,40000,50,10,1000,16,12,46023.1,46023.1
0.999,aria_abort_lock_fix,40000,80,10,1000,16,12,123183,123183
0.999,aria_abort_lock_fix,40000,50,10,1000,1,12,283.4,283.4
0.999,aria_abort_lock_fix,40000,80,10,1000,1,12,1059.8,1059.8
0.999,aria_abort_lock_fix,40000,50,10,1000,20,12,52594.1,52594.1
0.999,aria_abort_lock_fix,40000,80,10,1000,20,12,140957,140957
0.999,aria_abort_lock_fix,40000,50,10,1000,24,12,54736,54736
0.999,aria_abort_lock_fix,40000,80,10,1000,24,12,133372,133372
0.999,aria_abort_lock_fix,40000,50,10,1000,28,12,55302.4,55302.4
0.999,aria_abort_lock_fix,40000,80,10,1000,28,12,118029,118029
0.999,aria_abort_lock_fix,40000,50,10,1000,32,12,43093.6,43093.6
0.999,aria_abort_lock_fix,40000,80,10,1000,32,12,93034.8,93034.8
0.999,aria_abort_lock_fix,40000,50,10,1000,36,12,46821.9,46821.9
0.999,aria_abort_lock_fix,40000,80,10,1000,36,12,103607,103607
0.999,aria_abort_lock_fix,40000,50,10,1000,40,12,47111.1,47111.1
0.999,aria_abort_lock_fix,40000,80,10,1000,40,12,107544,107544
0.999,aria_abort_lock_fix,40000,50,10,1000,44,12,49400.8,49400.8
0.999,aria_abort_lock_fix,40000,80,10,1000,44,12,106380,106380
0.999,aria_abort_lock_fix,40000,50,10,1000,48,12,53066.9,53066.9
0.999,aria_abort_lock_fix,40000,80,10,1000,48,12,107180,107180
0.999,aria_abort_lock_fix,40000,50,10,1000,4,12,7276.1,7276.1
0.999,aria_abort_lock_fix,40000,80,10,1000,4,12,21748,21748
0.999,aria_abort_lock_fix,40000,50,10,1000,52,12,47655.2,47655.2
0.999,aria_abort_lock_fix,40000,80,10,1000,52,12,117956,117956
0.999,aria_abort_lock_fix,40000,50,10,1000,56,12,51800.9,51800.9
0.999,aria_abort_lock_fix,40000,80,10,1000,56,12,113026,113026
0.999,aria_abort_lock_fix,40000,50,10,1000,60,12,55534.8,55534.8
0.999,aria_abort_lock_fix,40000,80,10,1000,60,12,100434,100434
0.999,aria_abort_lock_fix,40000,50,10,1000,8,12,20300,20300
0.999,aria_abort_lock_fix,40000,80,10,1000,8,12,58873.2,58873.2
0.999,ariaer_cache_fix_v2_abort_lock_fix,40000,50,10,1000,12,12,43599.1,43599.1
0.999,ariaer_cache_fix_v2_abort_lock_fix,40000,80,10,1000,12,12,126239,126239
0.999,ariaer_cache_fix_v2_abort_lock_fix,40000,50,10,1000,16,12,56315.3,56315.3
0.999,ariaer_cache_fix_v2_abort_lock_fix,40000,80,10,1000,16,12,148771,148771
0.999,ariaer_cache_fix_v2_abort_lock_fix,40000,50,10,1000,1,12,309.4,309.4
0.999,ariaer_cache_fix_v2_abort_lock_fix,40000,80,10,1000,1,12,1354.7,1354.7
0.999,ariaer_cache_fix_v2_abort_lock_fix,40000,50,10,1000,20,12,65464.1,65464.1
0.999,ariaer_cache_fix_v2_abort_lock_fix,40000,80,10,1000,20,12,144995,144995
0.999,ariaer_cache_fix_v2_abort_lock_fix,40000,50,10,1000,24,12,65559.2,65559.2
0.999,ariaer_cache_fix_v2_abort_lock_fix,40000,80,10,1000,24,12,153165,153165
0.999,ariaer_cache_fix_v2_abort_lock_fix,40000,50,10,1000,28,12,65564.1,65564.1
0.999,ariaer_cache_fix_v2_abort_lock_fix,40000,80,10,1000,28,12,133550,133550
0.999,ariaer_cache_fix_v2_abort_lock_fix,40000,50,10,1000,32,12,50250.5,50250.5
0.999,ariaer_cache_fix_v2_abort_lock_fix,40000,80,10,1000,32,12,106629,106629
0.999,ariaer_cache_fix_v2_abort_lock_fix,40000,50,10,1000,36,12,53556.4,53556.4
0.999,ariaer_cache_fix_v2_abort_lock_fix,40000,80,10,1000,36,12,112080,112080
0.999,ariaer_cache_fix_v2_abort_lock_fix,40000,50,10,1000,40,12,57923.4,57923.4
0.999,ariaer_cache_fix_v2_abort_lock_fix,40000,80,10,1000,40,12,127664,127664
0.999,ariaer_cache_fix_v2_abort_lock_fix,40000,50,10,1000,44,12,60836.6,60836.6
0.999,ariaer_cache_fix_v2_abort_lock_fix,40000,80,10,1000,44,12,124524,124524
0.999,ariaer_cache_fix_v2_abort_lock_fix,40000,50,10,1000,48,12,62506.7,62506.7
0.999,ariaer_cache_fix_v2_abort_lock_fix,40000,80,10,1000,48,12,126334,126334
0.999,ariaer_cache_fix_v2_abort_lock_fix,40000,50,10,1000,4,12,8938.4,8938.4
0.999,ariaer_cache_fix_v2_abort_lock_fix,40000,80,10,1000,4,12,27000.6,27000.6
0.999,ariaer_cache_fix_v2_abort_lock_fix,40000,50,10,1000,52,12,62726.7,62726.7
0.999,ariaer_cache_fix_v2_abort_lock_fix,40000,80,10,1000,52,12,135425,135425
0.999,ariaer_cache_fix_v2_abort_lock_fix,40000,50,10,1000,56,12,65241.8,65241.8
0.999,ariaer_cache_fix_v2_abort_lock_fix,40000,80,10,1000,56,12,119998,119998
0.999,ariaer_cache_fix_v2_abort_lock_fix,40000,50,10,1000,60,12,62824.8,62824.8
0.999,ariaer_cache_fix_v2_abort_lock_fix,40000,80,10,1000,60,12,129108,129108
0.999,ariaer_cache_fix_v2_abort_lock_fix,40000,50,10,1000,8,12,24431.1,24431.1
0.999,ariaer_cache_fix_v2_abort_lock_fix,40000,80,10,1000,8,12,72242,72242
