zipf,engine,keys,read_write_ratio,ops_per_txn,batch_size,threads,partitions,average_commit,total_commit
0.0,aria_sleep,40000,80,10,1000,12,12,985.4,985.4
0.1,aria_sleep,40000,80,10,1000,12,12,984.9,984.9
0.2,aria_sleep,40000,80,10,1000,12,12,985.7,985.7
0.3,aria_sleep,40000,80,10,1000,12,12,985.2,985.2
0.4,aria_sleep,40000,80,10,1000,12,12,981.8,981.8
0.5,aria_sleep,40000,80,10,1000,12,12,976,976
0.6,aria_sleep,40000,80,10,1000,12,12,941.8,941.8
0.7,aria_sleep,40000,80,10,1000,12,12,873.6,873.6
0.8,aria_sleep,40000,80,10,1000,12,12,709,709
0.9,aria_sleep,40000,80,10,1000,12,12,527.5,527.5
0.99,aria_sleep,40000,80,10,1000,12,12,375.6,375.6
0.0,ariaer_sleep,40000,80,10,1000,12,12,762125,762125
0.1,ariaer_sleep,40000,80,10,1000,12,12,499244,499244
0.2,ariaer_sleep,40000,80,10,1000,12,12,498221,498221
0.3,ariaer_sleep,40000,80,10,1000,12,12,500420,500420
0.4,ariaer_sleep,40000,80,10,1000,12,12,499824,499824
0.5,ariaer_sleep,40000,80,10,1000,12,12,497671,497671
0.6,ariaer_sleep,40000,80,10,1000,12,12,487797,487797
0.7,ariaer_sleep,40000,80,10,1000,12,12,453811,453811
0.8,ariaer_sleep,40000,80,10,1000,12,12,384778,384778
0.9,ariaer_sleep,40000,80,10,1000,12,12,293762,293762
0.99,ariaer_sleep,40000,80,10,1000,12,12,215422,215422
