zipf,engine,keys,read_write_ratio,ops_per_txn,batch_size,threads,partitions,average_commit,total_commit
0.0,ariaer_cache_fix_v2,40000,50,10,1000,12,12,574382,574382
0.1,ariaer_cache_fix_v2,40000,50,10,1000,12,12,400868,400868
0.2,ariaer_cache_fix_v2,40000,50,10,1000,12,12,396940,396940
0.3,ariaer_cache_fix_v2,40000,50,10,1000,12,12,395318,395318
0.4,ariaer_cache_fix_v2,40000,50,10,1000,12,12,391003,391003
0.5,ariaer_cache_fix_v2,40000,50,10,1000,12,12,377997,377997
0.6,ariaer_cache_fix_v2,40000,50,10,1000,12,12,345809,345809
0.7,ariaer_cache_fix_v2,40000,50,10,1000,12,12,278600,278600
0.8,ariaer_cache_fix_v2,40000,50,10,1000,12,12,182002,182002
0.99,ariaer_cache_fix_v2,40000,50,10,1000,12,12,41643.4,41643.4
0.9,ariaer_cache_fix_v2,40000,50,10,1000,12,12,92547.6,92547.6
0.0,ariaer_cache_fix_v2,40000,80,10,1000,12,12,816666,816666
0.1,ariaer_cache_fix_v2,40000,80,10,1000,12,12,507000,507000
0.2,ariaer_cache_fix_v2,40000,80,10,1000,12,12,506284,506284
0.3,ariaer_cache_fix_v2,40000,80,10,1000,12,12,507127,507127
0.4,ariaer_cache_fix_v2,40000,80,10,1000,12,12,506003,506003
0.5,ariaer_cache_fix_v2,40000,80,10,1000,12,12,505404,505404
0.6,ariaer_cache_fix_v2,40000,80,10,1000,12,12,492476,492476
0.7,ariaer_cache_fix_v2,40000,80,10,1000,12,12,459587,459587
0.8,ariaer_cache_fix_v2,40000,80,10,1000,12,12,388938,388938
0.99,ariaer_cache_fix_v2,40000,80,10,1000,12,12,216863,216863
0.9,ariaer_cache_fix_v2,40000,80,10,1000,12,12,296168,296168
0.0,aria,40000,50,10,1000,12,12,584727,584727
0.1,aria,40000,50,10,1000,12,12,401988,401988
0.2,aria,40000,50,10,1000,12,12,401281,401281
0.3,aria,40000,50,10,1000,12,12,400626,400626
0.4,aria,40000,50,10,1000,12,12,397172,397172
0.5,aria,40000,50,10,1000,12,12,385403,385403
0.6,aria,40000,50,10,1000,12,12,349857,349857
0.7,aria,40000,50,10,1000,12,12,277078,277078
0.8,aria,40000,50,10,1000,12,12,172984,172984
0.99,aria,40000,50,10,1000,12,12,33417.9,33417.9
0.9,aria,40000,50,10,1000,12,12,80511.4,80511.4
0.0,aria,40000,80,10,1000,12,12,820142,820142
0.1,aria,40000,80,10,1000,12,12,506020,506020
0.2,aria,40000,80,10,1000,12,12,505374,505374
0.3,aria,40000,80,10,1000,12,12,505537,505537
0.4,aria,40000,80,10,1000,12,12,506590,506590
0.5,aria,40000,80,10,1000,12,12,502820,502820
0.6,aria,40000,80,10,1000,12,12,492672,492672
0.7,aria,40000,80,10,1000,12,12,461726,461726
0.8,aria,40000,80,10,1000,12,12,386122,386122
0.99,aria,40000,80,10,1000,12,12,200502,200502
0.9,aria,40000,80,10,1000,12,12,283589,283589
