zipf,engine,keys,read_write_ratio,ops_per_txn,batch_size,threads,partitions,average_commit,total_commit
0.999,ariaer_cache_fix_v2,40000,80,100,1000,12,12,231.6,231.6
0.999,ariaer_cache_fix_v2,40000,80,10,1000,12,12,208846,208846
0.999,ariaer_cache_fix_v2,40000,80,100,1000,16,12,288.4,288.4
0.999,ariaer_cache_fix_v2,40000,80,10,1000,16,12,261061,261061
0.999,ariaer_cache_fix_v2,40000,80,100,1000,1,12,18.7,18.7
0.999,ariaer_cache_fix_v2,40000,80,10,1000,1,12,17637,17637
0.999,ariaer_cache_fix_v2,40000,80,100,1000,20,12,363.9,363.9
0.999,ariaer_cache_fix_v2,40000,80,10,1000,20,12,323443,323443
0.999,ariaer_cache_fix_v2,40000,80,100,1000,24,12,431.8,431.8
0.999,ariaer_cache_fix_v2,40000,80,10,1000,24,12,382797,382797
0.999,ariaer_cache_fix_v2,40000,80,100,1000,28,12,497,497
0.999,ariaer_cache_fix_v2,40000,80,10,1000,28,12,435506,435506
0.999,ariaer_cache_fix_v2,40000,80,100,1000,32,12,304,304
0.999,ariaer_cache_fix_v2,40000,80,10,1000,32,12,297642,297642
0.999,ariaer_cache_fix_v2,40000,80,100,1000,36,12,353.1,353.1
0.999,ariaer_cache_fix_v2,40000,80,10,1000,36,12,341654,341654
0.999,ariaer_cache_fix_v2,40000,80,100,1000,40,12,392.9,392.9
0.999,ariaer_cache_fix_v2,40000,80,10,1000,40,12,377533,377533
0.999,ariaer_cache_fix_v2,40000,80,100,1000,44,12,428.4,428.4
0.999,ariaer_cache_fix_v2,40000,80,10,1000,44,12,403810,403810
0.999,ariaer_cache_fix_v2,40000,80,100,1000,48,12,465,465
0.999,ariaer_cache_fix_v2,40000,80,10,1000,48,12,437367,437367
0.999,ariaer_cache_fix_v2,40000,80,100,1000,4,12,82.1,82.1
0.999,ariaer_cache_fix_v2,40000,80,10,1000,4,12,69134.7,69134.7
0.999,ariaer_cache_fix_v2,40000,80,100,1000,52,12,508,508
0.999,ariaer_cache_fix_v2,40000,80,10,1000,52,12,478378,478378
0.999,ariaer_cache_fix_v2,40000,80,100,1000,56,12,541.2,541.2
0.999,ariaer_cache_fix_v2,40000,80,10,1000,56,12,503690,503690
0.999,ariaer_cache_fix_v2,40000,80,100,1000,60,12,572.6,572.6
0.999,ariaer_cache_fix_v2,40000,80,10,1000,60,12,519080,519080
0.999,ariaer_cache_fix_v2,40000,80,100,1000,8,12,153.7,153.7
0.999,ariaer_cache_fix_v2,40000,80,10,1000,8,12,140521,140521
0.999,aria,40000,80,100,1000,12,12,173.3,173.3
0.999,aria,40000,80,10,1000,12,12,193123,193123
0.999,aria,40000,80,100,1000,16,12,210.9,210.9
0.999,aria,40000,80,10,1000,16,12,241558,241558
0.999,aria,40000,80,100,1000,1,12,15.1,15.1
0.999,aria,40000,80,10,1000,1,12,16179.3,16179.3
0.999,aria,40000,80,100,1000,20,12,263.6,263.6
0.999,aria,40000,80,10,1000,20,12,297813,297813
0.999,aria,40000,80,100,1000,24,12,321.1,321.1
0.999,aria,40000,80,10,1000,24,12,352716,352716
0.999,aria,40000,80,100,1000,28,12,371.1,371.1
0.999,aria,40000,80,10,1000,28,12,404744,404744
0.999,aria,40000,80,100,1000,32,12,236.1,236.1
0.999,aria,40000,80,10,1000,32,12,276531,276531
0.999,aria,40000,80,100,1000,36,12,270.7,270.7
0.999,aria,40000,80,10,1000,36,12,320077,320077
0.999,aria,40000,80,100,1000,40,12,302.7,302.7
0.999,aria,40000,80,10,1000,40,12,352171,352171
0.999,aria,40000,80,100,1000,44,12,333,333
0.999,aria,40000,80,10,1000,44,12,376648,376648
0.999,aria,40000,80,100,1000,48,12,357.4,357.4
0.999,aria,40000,80,10,1000,48,12,407212,407212
0.999,aria,40000,80,100,1000,4,12,58.2,58.2
0.999,aria,40000,80,10,1000,4,12,65251.4,65251.4
0.999,aria,40000,80,100,1000,52,12,385.6,385.6
0.999,aria,40000,80,10,1000,52,12,446073,446073
0.999,aria,40000,80,100,1000,56,12,411.8,411.8
0.999,aria,40000,80,10,1000,56,12,463087,463087
0.999,aria,40000,80,100,1000,60,12,435.3,435.3
0.999,aria,40000,80,10,1000,60,12,475797,475797
0.999,aria,40000,80,100,1000,8,12,115.1,115.1
0.999,aria,40000,80,10,1000,8,12,130029,130029
