I0401 03:49:30.023795 1163675 Database.h:65] ycsb initialization finished in 110 milliseconds.
I0401 03:49:30.024020 1163675 Coordinator.h:30] Coordinator initializes 12 workers.
I0401 03:49:30.060396 1163675 Coordinator.h:77] Coordinator starts to run 13 workers.
I0401 03:49:30.060521 1163693 AriaExecutor.h:82] AriaExecutor 0 started. 
I0401 03:49:30.060565 1163694 AriaExecutor.h:82] AriaExecutor 1 started. 
I0401 03:49:30.060698 1163695 AriaExecutor.h:82] AriaExecutor 2 started. 
I0401 03:49:30.060751 1163696 AriaExecutor.h:82] AriaExecutor 3 started. 
I0401 03:49:30.060854 1163697 AriaExecutor.h:82] AriaExecutor 4 started. 
I0401 03:49:30.060878 1163698 AriaExecutor.h:82] AriaExecutor 5 started. 
I0401 03:49:30.061004 1163700 AriaExecutor.h:82] AriaExecutor 7 started. 
I0401 03:49:30.061005 1163699 AriaExecutor.h:82] AriaExecutor 6 started. 
I0401 03:49:30.061065 1163701 AriaExecutor.h:82] AriaExecutor 8 started. 
I0401 03:49:30.061156 1163702 AriaExecutor.h:82] AriaExecutor 9 started. 
I0401 03:49:30.061216 1163703 AriaExecutor.h:82] AriaExecutor 10 started. 
I0401 03:49:30.061308 1163704 AriaExecutor.h:82] AriaExecutor 11 started. 
I0401 03:49:30.061353 1163705 Manager.h:224] Manager(worker id = 12) on the coordinator node started.
I0401 03:49:31.061393 1163675 Coordinator.h:126] commit: 239 abort: 114761 (0/114761/0), network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %
I0401 03:49:32.061537 1163675 Coordinator.h:126] commit: 284 abort: 124716 (0/124716/0), network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %
I0401 03:49:33.061755 1163675 Coordinator.h:126] commit: 287 abort: 131713 (0/131713/0), network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %
I0401 03:49:34.061918 1163675 Coordinator.h:126] commit: 264 abort: 132736 (0/132736/0), network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %
I0401 03:49:35.062037 1163675 Coordinator.h:126] commit: 288 abort: 132712 (0/132712/0), network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %
I0401 03:49:36.062163 1163675 Coordinator.h:126] commit: 284 abort: 131716 (0/131716/0), network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %
I0401 03:49:37.062309 1163675 Coordinator.h:126] commit: 277 abort: 132723 (0/132723/0), network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %
I0401 03:49:38.062531 1163675 Coordinator.h:126] commit: 276 abort: 131724 (0/131724/0), network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %
I0401 03:49:39.062705 1163675 Coordinator.h:126] commit: 280 abort: 132720 (0/132720/0), network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %
I0401 03:49:40.062844 1163675 Coordinator.h:126] commit: 290 abort: 132710 (0/132710/0), network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %
I0401 03:49:41.062990 1163675 Coordinator.h:126] commit: 290 abort: 132710 (0/132710/0), network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %
I0401 03:49:42.063135 1163675 Coordinator.h:126] commit: 280 abort: 131720 (0/131720/0), network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %
I0401 03:49:43.063292 1163675 Coordinator.h:126] commit: 283 abort: 132717 (0/132717/0), network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %
I0401 03:49:44.063436 1163675 Coordinator.h:126] commit: 301 abort: 132699 (0/132699/0), network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %
I0401 03:49:45.063560 1163675 Coordinator.h:126] commit: 271 abort: 132729 (0/132729/0), network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %
I0401 03:49:46.063680 1163675 Coordinator.h:126] commit: 278 abort: 131722 (0/131722/0), network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %
I0401 03:49:47.063813 1163675 Coordinator.h:126] commit: 272 abort: 132728 (0/132728/0), network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %
