zipf,engine,keys,read_write_ratio,ops_per_txn,batch_size,threads,partitions,average_commit,total_commit
0,ariaer_cache_fix_v2,40000,80,100,1000,12,12,47671.7,47671.7
0,ariaer_cache_fix_v2,40000,80,100,1000,16,12,58998.8,58998.8
0,ariaer_cache_fix_v2,40000,80,100,1000,1,12,3952.6,3952.6
0,ariaer_cache_fix_v2,40000,80,100,1000,24,12,87044.4,87044.4
0,ariaer_cache_fix_v2,40000,80,100,1000,40,12,84117.8,84117.8
0,ariaer_cache_fix_v2,40000,80,100,1000,4,12,15887.9,15887.9
0,ariaer_cache_fix_v2,40000,80,100,1000,60,12,120401,120401
0,ariaer_cache_fix_v2,40000,80,100,1000,8,12,31758.9,31758.9
0,aria,40000,80,100,1000,12,12,41375.6,41375.6
0,aria,40000,80,100,1000,16,12,50831.3,50831.3
0,aria,40000,80,100,1000,1,12,3463,3463
0,aria,40000,80,100,1000,24,12,76198.2,76198.2
0,aria,40000,80,100,1000,40,12,75661.5,75661.5
0,aria,40000,80,100,1000,4,12,13816.8,13816.8
0,aria,40000,80,100,1000,60,12,107942,107942
0,aria,40000,80,100,1000,8,12,27436.4,27436.4
