query,engine,threads,partitions,batch_size,neworder_dist,payment_dist,n_district,average_commit,total_commit
mixed,aria,12,12,1000,10,15,10,80952.8,80952.8
mixed,aria,12,12,4000,10,15,10,17354.1,17354.1
neworder,aria,12,12,1000,10,15,10,80918.2,80918.2
neworder,aria,12,12,4000,10,15,10,17245.3,17245.3
payment,aria,12,12,1000,10,15,10,46493.9,46493.9
payment,aria,12,12,4000,10,15,10,11776,11776
mixed,ariaer_cache_fix_v2,12,12,1000,10,15,10,83830.6,83830.6
mixed,ariaer_cache_fix_v2,12,12,4000,10,15,10,18243.9,18243.9
neworder,ariaer_cache_fix_v2,12,12,1000,10,15,10,83863.8,83863.8
neworder,ariaer_cache_fix_v2,12,12,4000,10,15,10,18462.5,18462.5
payment,ariaer_cache_fix_v2,12,12,1000,10,15,10,49339.9,49339.9
payment,ariaer_cache_fix_v2,12,12,4000,10,15,10,12305,12305
mixed,ariaer,12,12,1000,10,15,10,83534,83534
mixed,ariaer,12,12,4000,10,15,10,18272.1,18272.1
neworder,ariaer,12,12,1000,10,15,10,83389,83389
neworder,ariaer,12,12,4000,10,15,10,18383.5,18383.5
payment,ariaer,12,12,1000,10,15,10,49326.2,49326.2
payment,ariaer,12,12,4000,10,15,10,12333.5,12333.5
