query	engine	partitions	threads	batch_size	neworder_dist	payment_dist	n_district	average_commit
mixed	ariaer_cache_fix_v2	108	12	500	10	15	10	463709
mixed	ariaer_cache_fix_v2	10	12	500	10	15	10	148097
mixed	ariaer_cache_fix_v2	12	12	500	10	15	10	171533
mixed	ariaer_cache_fix_v2	132	12	500	10	15	10	470434
mixed	ariaer_cache_fix_v2	156	12	500	10	15	10	494382
mixed	ariaer_cache_fix_v2	180	12	500	10	15	10	499128
mixed	ariaer_cache_fix_v2	1	12	500	10	15	10	19712.6
mixed	ariaer_cache_fix_v2	2	12	500	10	15	10	36237.7
mixed	ariaer_cache_fix_v2	36	12	500	10	15	10	343647
mixed	ariaer_cache_fix_v2	4	12	500	10	15	10	66689.5
mixed	ariaer_cache_fix_v2	60	12	500	10	15	10	387342
mixed	ariaer_cache_fix_v2	6	12	500	10	15	10	95045.9
mixed	ariaer_cache_fix_v2	84	12	500	10	15	10	426627
mixed	ariaer_cache_fix_v2	8	12	500	10	15	10	122488
mixed	aria	108	12	500	10	15	10	460100
mixed	aria	10	12	500	10	15	10	143398
mixed	aria	12	12	500	10	15	10	167430
mixed	aria	132	12	500	10	15	10	484754
mixed	aria	156	12	500	10	15	10	504501
mixed	aria	180	12	500	10	15	10	532834
mixed	aria	1	12	500	10	15	10	18516.6
mixed	aria	2	12	500	10	15	10	34524.6
mixed	aria	36	12	500	10	15	10	340521
mixed	aria	4	12	500	10	15	10	63832.4
mixed	aria	60	12	500	10	15	10	390854
mixed	aria	6	12	500	10	15	10	91508.9
mixed	aria	84	12	500	10	15	10	432343
mixed	aria	8	12	500	10	15	10	118056
