query,engine,threads,partitions,batch_size,neworder_dist,payment_dist,n_district,average_commit,total_commit
mixed,ariaer_cache_fix_v2,12,108,1000,10,15,10,309978,309978
mixed,ariaer_cache_fix_v2,12,12,1000,10,15,10,84434.1,84434.1
mixed,ariaer_cache_fix_v2,12,132,1000,10,15,10,331743,331743
mixed,ariaer_cache_fix_v2,12,156,1000,10,15,10,341803,341803
mixed,ariaer_cache_fix_v2,12,180,1000,10,15,10,361944,361944
mixed,ariaer_cache_fix_v2,12,1,1000,10,15,10,9696.3,9696.3
mixed,ariaer_cache_fix_v2,12,36,1000,10,15,10,198296,198296
mixed,ariaer_cache_fix_v2,12,4,1000,10,15,10,32462.3,32462.3
mixed,ariaer_cache_fix_v2,12,60,1000,10,15,10,241442,241442
mixed,ariaer_cache_fix_v2,12,84,1000,10,15,10,290366,290366
mixed,ariaer_cache_fix_v2,12,8,1000,10,15,10,59366,59366
mixed,aria,12,108,1000,10,15,10,311046,311046
mixed,aria,12,12,1000,10,15,10,81240.9,81240.9
mixed,aria,12,132,1000,10,15,10,332210,332210
mixed,aria,12,156,1000,10,15,10,352581,352581
mixed,aria,12,180,1000,10,15,10,365798,365798
mixed,aria,12,1,1000,10,15,10,9080.6,9080.6
mixed,aria,12,36,1000,10,15,10,193361,193361
mixed,aria,12,4,1000,10,15,10,30935.7,30935.7
mixed,aria,12,60,1000,10,15,10,240523,240523
mixed,aria,12,84,1000,10,15,10,301157,301157
mixed,aria,12,8,1000,10,15,10,57120.4,57120.4
