label	zipf	avg_commit	total_commit	log
ariaer_retry	0.0	6785.6	6785.6	/work/miyayu/aria_experiment/results/quick_perf_checks/20260312_ariaer_retry_vs_patch_t12_rw50_ops100_bs1024_ariaer_retry_zipf0.0.log
ariaer_retry	0.2	6434.5	6434.5	/work/miyayu/aria_experiment/results/quick_perf_checks/20260312_ariaer_retry_vs_patch_t12_rw50_ops100_bs1024_ariaer_retry_zipf0.2.log
ariaer_retry	0.4	4595	4595	/work/miyayu/aria_experiment/results/quick_perf_checks/20260312_ariaer_retry_vs_patch_t12_rw50_ops100_bs1024_ariaer_retry_zipf0.4.log
ariaer_retry	0.6	2825.2	2825.2	/work/miyayu/aria_experiment/results/quick_perf_checks/20260312_ariaer_retry_vs_patch_t12_rw50_ops100_bs1024_ariaer_retry_zipf0.6.log
ariaer_retry	0.8	237.4	237.4	/work/miyayu/aria_experiment/results/quick_perf_checks/20260312_ariaer_retry_vs_patch_t12_rw50_ops100_bs1024_ariaer_retry_zipf0.8.log
ariaer_retry	0.9	47.1	47.1	/work/miyayu/aria_experiment/results/quick_perf_checks/20260312_ariaer_retry_vs_patch_t12_rw50_ops100_bs1024_ariaer_retry_zipf0.9.log
ariaer_retry_patch	0.0	4286.4	4286.4	/work/miyayu/aria_experiment/results/quick_perf_checks/20260312_ariaer_retry_vs_patch_t12_rw50_ops100_bs1024_ariaer_retry_patch_zipf0.0.log
ariaer_retry_patch	0.2	4081.9	4081.9	/work/miyayu/aria_experiment/results/quick_perf_checks/20260312_ariaer_retry_vs_patch_t12_rw50_ops100_bs1024_ariaer_retry_patch_zipf0.2.log
ariaer_retry_patch	0.4	3081.5	3081.5	/work/miyayu/aria_experiment/results/quick_perf_checks/20260312_ariaer_retry_vs_patch_t12_rw50_ops100_bs1024_ariaer_retry_patch_zipf0.4.log
ariaer_retry_patch	0.6	1752.9	1752.9	/work/miyayu/aria_experiment/results/quick_perf_checks/20260312_ariaer_retry_vs_patch_t12_rw50_ops100_bs1024_ariaer_retry_patch_zipf0.6.log
ariaer_retry_patch	0.8	153.2	153.2	/work/miyayu/aria_experiment/results/quick_perf_checks/20260312_ariaer_retry_vs_patch_t12_rw50_ops100_bs1024_ariaer_retry_patch_zipf0.8.log
ariaer_retry_patch	0.9	51.1	51.1	/work/miyayu/aria_experiment/results/quick_perf_checks/20260312_ariaer_retry_vs_patch_t12_rw50_ops100_bs1024_ariaer_retry_patch_zipf0.9.log
