I0312 09:14:23.122243 318125 Database.h:65] ycsb initialization finished in 99 milliseconds.
I0312 09:14:23.122460 318125 Coordinator.h:30] Coordinator initializes 12 workers.
I0312 09:14:23.182847 318125 Coordinator.h:77] Coordinator starts to run 13 workers.
I0312 09:14:23.183010 318146 AriaExecutor.h:82] AriaExecutor 0 started. 
I0312 09:14:23.183126 318147 AriaExecutor.h:82] AriaExecutor 1 started. 
I0312 09:14:23.183295 318148 AriaExecutor.h:82] AriaExecutor 2 started. 
I0312 09:14:23.183451 318149 AriaExecutor.h:82] AriaExecutor 3 started. 
I0312 09:14:23.183689 318150 AriaExecutor.h:82] AriaExecutor 4 started. 
I0312 09:14:23.183856 318151 AriaExecutor.h:82] AriaExecutor 5 started. 
I0312 09:14:23.184018 318152 AriaExecutor.h:82] AriaExecutor 6 started. 
I0312 09:14:23.184165 318153 AriaExecutor.h:82] AriaExecutor 7 started. 
I0312 09:14:23.184387 318154 AriaExecutor.h:82] AriaExecutor 8 started. 
I0312 09:14:23.184561 318155 AriaExecutor.h:82] AriaExecutor 9 started. 
I0312 09:14:23.184707 318156 AriaExecutor.h:82] AriaExecutor 10 started. 
I0312 09:14:23.184854 318157 AriaExecutor.h:82] AriaExecutor 11 started. 
I0312 09:14:23.185016 318158 Manager.h:224] Manager(worker id = 12) on the coordinator node started.
I0312 09:14:24.185101 318125 Coordinator.h:126] commit: 656 abort: 73072 (0/73072/0), network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %
I0312 09:14:25.185298 318125 Coordinator.h:126] commit: 699 abort: 73029 (0/73029/0), network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %
I0312 09:14:26.185521 318125 Coordinator.h:126] commit: 668 abort: 75108 (0/75108/0), network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %
I0312 09:14:27.185701 318125 Coordinator.h:126] commit: 677 abort: 75099 (0/75099/0), network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %
I0312 09:14:28.185860 318125 Coordinator.h:126] commit: 683 abort: 75093 (0/75093/0), network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %
I0312 09:14:29.186014 318125 Coordinator.h:126] commit: 669 abort: 75107 (0/75107/0), network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %
I0312 09:14:30.186170 318125 Coordinator.h:126] commit: 737 abort: 75039 (0/75039/0), network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %
I0312 09:14:31.186375 318125 Coordinator.h:126] commit: 679 abort: 75097 (0/75097/0), network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %
I0312 09:14:32.186543 318125 Coordinator.h:126] commit: 691 abort: 75085 (0/75085/0), network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %
I0312 09:14:33.186703 318125 Coordinator.h:126] commit: 649 abort: 75127 (0/75127/0), network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %
I0312 09:14:34.186873 318125 Coordinator.h:126] commit: 635 abort: 75141 (0/75141/0), network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %
I0312 09:14:35.187036 318125 Coordinator.h:126] commit: 691 abort: 75085 (0/75085/0), network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %
I0312 09:14:36.187201 318125 Coordinator.h:126] commit: 640 abort: 75136 (0/75136/0), network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %
I0312 09:14:37.187361 318125 Coordinator.h:126] commit: 689 abort: 75087 (0/75087/0), network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %
I0312 09:14:38.187522 318125 Coordinator.h:126] commit: 685 abort: 75091 (0/75091/0), network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %
I0312 09:14:39.187682 318125 Coordinator.h:126] commit: 694 abort: 75082 (0/75082/0), network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %
I0312 09:14:40.187847 318125 Coordinator.h:126] commit: 667 abort: 75109 (0/75109/0), network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %
I0312 09:14:41.188059 318125 Coordinator.h:126] commit: 699 abort: 75077 (0/75077/0), network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %
I0312 09:14:42.188267 318125 Coordinator.h:126] commit: 662 abort: 75114 (0/75114/0), network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %
I0312 09:14:43.188478 318125 Coordinator.h:126] commit: 689 abort: 75087 (0/75087/0), network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %
