variant,engine,threads,zipf,read_write_ratio,ops_per_txn,batch_size,exit_code,elapsed_sec,average_commit,average_abort,total_commit,log_path
current,aria,12,0.0,50,10,1024,0,27,581274,16127.7,581274,/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_085636/current_aria_p12_t12_k40000_rw50_ops10_bs1024_zipf_0.0.log
current,aria,12,0.0,50,10,2048,0,26,551744,31526.6,551744,/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_085636/current_aria_p12_t12_k40000_rw50_ops10_bs2048_zipf_0.0.log
current,aria,12,0.0,50,10,4096,0,27,488406,59638.5,488406,/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_085636/current_aria_p12_t12_k40000_rw50_ops10_bs4096_zipf_0.0.log
current,aria,12,0.0,50,100,1024,0,26,9715.8,66777,9715.8,/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_085636/current_aria_p12_t12_k40000_rw50_ops100_bs1024_zipf_0.0.log
current,aria,12,0.0,50,100,2048,0,26,4848,72361.6,4848,/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_085636/current_aria_p12_t12_k40000_rw50_ops100_bs2048_zipf_0.0.log
current,aria,12,0.0,50,100,4096,0,27,2479.1,76164.1,2479.1,/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_085636/current_aria_p12_t12_k40000_rw50_ops100_bs4096_zipf_0.0.log
current,aria,12,0.0,80,10,1024,0,27,811934,3681.4,811934,/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_085636/current_aria_p12_t12_k40000_rw80_ops10_bs1024_zipf_0.0.log
current,aria,12,0.0,80,10,2048,0,27,798383,7709.7,798383,/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_085636/current_aria_p12_t12_k40000_rw80_ops10_bs2048_zipf_0.0.log
current,aria,12,0.0,80,10,4096,0,27,739815,15897.1,739815,/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_085636/current_aria_p12_t12_k40000_rw80_ops10_bs4096_zipf_0.0.log
current,aria,12,0.0,80,100,1024,0,27,40528.6,78767.4,40528.6,/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_085636/current_aria_p12_t12_k40000_rw80_ops100_bs1024_zipf_0.0.log
current,aria,12,0.0,80,100,2048,0,26,20738.1,98455.5,20738.1,/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_085636/current_aria_p12_t12_k40000_rw80_ops100_bs2048_zipf_0.0.log
current,aria,12,0.0,80,100,4096,0,26,10651.5,111409,10651.5,/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_085636/current_aria_p12_t12_k40000_rw80_ops100_bs4096_zipf_0.0.log
current,aria,12,0.2,50,10,1024,0,27,402710,11907.1,402710,/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_085636/current_aria_p12_t12_k40000_rw50_ops10_bs1024_zipf_0.2.log
current,aria,12,0.2,50,10,2048,0,27,381854,23445,381854,/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_085636/current_aria_p12_t12_k40000_rw50_ops10_bs2048_zipf_0.2.log
current,aria,12,0.2,50,10,4096,0,27,343346,44954.8,343346,/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_085636/current_aria_p12_t12_k40000_rw50_ops10_bs4096_zipf_0.2.log
current,aria,12,0.2,50,100,1024,0,26,8584.6,63607.4,8584.6,/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_085636/current_aria_p12_t12_k40000_rw50_ops100_bs1024_zipf_0.2.log
current,aria,12,0.2,50,100,2048,0,27,4325.2,68378.8,4325.2,/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_085636/current_aria_p12_t12_k40000_rw50_ops100_bs2048_zipf_0.2.log
current,aria,12,0.2,50,100,4096,0,26,2189.7,71947.9,2189.7,/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_085636/current_aria_p12_t12_k40000_rw50_ops100_bs4096_zipf_0.2.log
