variant	engine	threads	zipf	rw	ops	batch_size	exit_code	elapsed_sec	average_commit	average_abort	total_commit	log_path
current	aria	12	0.0	50	10	1024	0	27	579188	16082.8	579188	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_aria_p12_t12_k40000_rw50_ops10_bs1024_zipf_0.0.log
current	aria	12	0.0	50	10	2048	0	27	548811	31387.8	548811	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_aria_p12_t12_k40000_rw50_ops10_bs2048_zipf_0.0.log
current	aria	12	0.0	50	10	4096	0	26	489177	59687	489177	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_aria_p12_t12_k40000_rw50_ops10_bs4096_zipf_0.0.log
current	aria	12	0.0	50	100	1024	0	26	9624.7	66356.1	9624.7	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_aria_p12_t12_k40000_rw50_ops100_bs1024_zipf_0.0.log
current	aria	12	0.0	50	100	2048	0	26	4860	72144.8	4860	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_aria_p12_t12_k40000_rw50_ops100_bs2048_zipf_0.0.log
current	aria	12	0.0	50	100	4096	0	27	2473.4	75760.2	2473.4	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_aria_p12_t12_k40000_rw50_ops100_bs4096_zipf_0.0.log
current	aria	12	0.0	80	10	1024	0	27	811833	3680.3	811833	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_aria_p12_t12_k40000_rw80_ops10_bs1024_zipf_0.0.log
current	aria	12	0.0	80	10	2048	0	27	794728	7678	794728	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_aria_p12_t12_k40000_rw80_ops10_bs2048_zipf_0.0.log
current	aria	12	0.0	80	10	4096	0	27	754588	16279.7	754588	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_aria_p12_t12_k40000_rw80_ops10_bs4096_zipf_0.0.log
current	aria	12	0.0	80	100	1024	0	27	40447.1	78746.5	40447.1	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_aria_p12_t12_k40000_rw80_ops100_bs1024_zipf_0.0.log
current	aria	12	0.0	80	100	2048	0	26	20602.8	97976.4	20602.8	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_aria_p12_t12_k40000_rw80_ops100_bs2048_zipf_0.0.log
current	aria	12	0.0	80	100	4096	0	26	10617.1	111034	10617.1	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_aria_p12_t12_k40000_rw80_ops100_bs4096_zipf_0.0.log
current	aria	12	0.2	50	10	1024	0	27	400163	11792.3	400163	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_aria_p12_t12_k40000_rw50_ops10_bs1024_zipf_0.2.log
current	aria	12	0.2	50	10	2048	0	27	382656	23461.9	382656	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_aria_p12_t12_k40000_rw50_ops10_bs2048_zipf_0.2.log
current	aria	12	0.2	50	10	4096	0	27	342256	44815.9	342256	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_aria_p12_t12_k40000_rw50_ops10_bs4096_zipf_0.2.log
current	aria	12	0.2	50	100	1024	0	26	8588.3	63706.1	8588.3	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_aria_p12_t12_k40000_rw50_ops100_bs1024_zipf_0.2.log
current	aria	12	0.2	50	100	2048	0	27	4315	68389	4315	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_aria_p12_t12_k40000_rw50_ops100_bs2048_zipf_0.2.log
current	aria	12	0.2	50	100	4096	0	26	2203.3	71934.3	2203.3	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_aria_p12_t12_k40000_rw50_ops100_bs4096_zipf_0.2.log
current	aria	12	0.2	80	10	1024	0	27	506458	2470.4	506458	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_aria_p12_t12_k40000_rw80_ops10_bs1024_zipf_0.2.log
