zipf,engine,read_write_ratio,ops_per_txn,threads,partitions,average_commit,total_commit
0.0,aria,50,100,16,16,121198,121198
0.1,aria,50,100,16,16,116157,116157
0.2,aria,50,100,16,16,113472,113472
0.3,aria,50,100,16,16,106312,106312
0.4,aria,50,100,16,16,89842.9,89842.9
0.5,aria,50,100,16,16,59576.6,59576.6
0.6,aria,50,100,16,16,27268.3,27268.3
0.7,aria,50,100,16,16,9534.2,9534.2
0.8,aria,50,100,16,16,4358.1,4358.1
0.9,aria,50,100,16,16,3534.2,3534.2
0.0,aria,50,10,16,16,1.40388,1.40388
0.1,aria,50,10,16,16,1.11038,1.11038
0.2,aria,50,10,16,16,1.11274,1.11274
0.3,aria,50,10,16,16,1.1119,1.1119
0.4,aria,50,10,16,16,1.10293,1.10293
0.5,aria,50,10,16,16,1.10635,1.10635
0.6,aria,50,10,16,16,1.07445,1.07445
0.7,aria,50,10,16,16,982758,982758
0.8,aria,50,10,16,16,783372,783372
0.9,aria,50,10,16,16,487051,487051
0.0,aria,80,100,16,16,241930,241930
0.1,aria,80,100,16,16,226504,226504
0.2,aria,80,100,16,16,228564,228564
0.3,aria,80,100,16,16,223673,223673
0.4,aria,80,100,16,16,211018,211018
0.5,aria,80,100,16,16,172164,172164
0.6,aria,80,100,16,16,105803,105803
0.7,aria,80,100,16,16,46658.5,46658.5
0.8,aria,80,100,16,16,17869.2,17869.2
0.9,aria,80,100,16,16,8395.8,8395.8
0.0,aria,80,10,16,16,1.72093,1.72093
0.1,aria,80,10,16,16,1.31824,1.31824
0.2,aria,80,10,16,16,1.31803,1.31803
0.3,aria,80,10,16,16,1.30559,1.30559
0.4,aria,80,10,16,16,1.31524,1.31524
0.5,aria,80,10,16,16,1.31683,1.31683
0.6,aria,80,10,16,16,1.30847,1.30847
0.7,aria,80,10,16,16,1.27415,1.27415
0.8,aria,80,10,16,16,1.17819,1.17819
0.9,aria,80,10,16,16,973106,973106
0.0,ariaer,50,100,16,16,124110,124110
0.1,ariaer,50,100,16,16,119668,119668
0.2,ariaer,50,100,16,16,117283,117283
0.3,ariaer,50,100,16,16,111092,111092
0.4,ariaer,50,100,16,16,97036.2,97036.2
0.5,ariaer,50,100,16,16,68834.9,68834.9
0.6,ariaer,50,100,16,16,34720.5,34720.5
0.7,ariaer,50,100,16,16,12390.1,12390.1
0.8,ariaer,50,100,16,16,4987.9,4987.9
0.9,ariaer,50,100,16,16,3770.5,3770.5
0.0,ariaer,50,10,16,16,1.38263,1.38263
0.1,ariaer,50,10,16,16,1.09779,1.09779
0.2,ariaer,50,10,16,16,1.10021,1.10021
0.3,ariaer,50,10,16,16,1.09984,1.09984
0.4,ariaer,50,10,16,16,1.09775,1.09775
0.5,ariaer,50,10,16,16,1.08112,1.08112
0.6,ariaer,50,10,16,16,1.06254,1.06254
0.7,ariaer,50,10,16,16,975636,975636
0.8,ariaer,50,10,16,16,780711,780711
0.9,ariaer,50,10,16,16,505371,505371
0.0,ariaer,80,100,16,16,241209,241209
0.1,ariaer,80,100,16,16,230391,230391
0.2,ariaer,80,100,16,16,228530,228530
0.3,ariaer,80,100,16,16,223786,223786
0.4,ariaer,80,100,16,16,211241,211241
0.5,ariaer,80,100,16,16,178700,178700
0.6,ariaer,80,100,16,16,120306,120306
0.7,ariaer,80,100,16,16,62471.7,62471.7
0.8,ariaer,80,100,16,16,27942.4,27942.4
0.9,ariaer,80,100,16,16,12509.3,12509.3
0.0,ariaer,80,10,16,16,1.71838,1.71838
0.1,ariaer,80,10,16,16,1.30906,1.30906
0.2,ariaer,80,10,16,16,1.30479,1.30479
0.3,ariaer,80,10,16,16,1.30569,1.30569
0.4,ariaer,80,10,16,16,1.30694,1.30694
0.5,ariaer,80,10,16,16,1.30232,1.30232
0.6,ariaer,80,10,16,16,1.28556,1.28556
0.7,ariaer,80,10,16,16,1.25356,1.25356
0.8,ariaer,80,10,16,16,1.16304,1.16304
0.9,ariaer,80,10,16,16,959183,959183
