zipf,aria,ariaer,ariaer_split_no_abort_list,ariaer_without_split_no_abort_list,ariaer_without_split_with_abort_list
0.0,2178.7,1.02292e+06,1.01776e+06,2445.9,1.03314e+06
0.1,2044,975680,964320,2323.9,990408
0.2,1941,963362,959225,2197,975014
0.3,1738.8,932551,924268,1951.1,939840
0.4,1316.7,873149,864275,1483.8,875856
0.5,769.6,769606,759737,872.1,761259
0.6,306.2,615593,608129,350.6,597685
0.7,80.4,432108,424676,95.3,402492
0.8,25.7,253830,247926,26.5,222192
0.9,17.7,121360,117251,18,101090
