zipf,engine,read_write_ratio,ops_per_txn,batch_size,threads,partitions,average_commit,total_commit
0.0,aria,50,100,1024,16,16,121179,121179
0.1,aria,50,100,1024,16,16,116638,116638
0.2,aria,50,100,1024,16,16,113418,113418
0.3,aria,50,100,1024,16,16,106664,106664
0.4,aria,50,100,1024,16,16,89729.4,89729.4
0.5,aria,50,100,1024,16,16,59631.2,59631.2
0.6,aria,50,100,1024,16,16,27274.8,27274.8
0.7,aria,50,100,1024,16,16,9514.2,9514.2
0.8,aria,50,100,1024,16,16,4380.3,4380.3
0.9,aria,50,100,1024,16,16,3539.6,3539.6
0.0,aria,50,100,16000,16,16,8815.3,8815.3
0.1,aria,50,100,16000,16,16,8549.1,8549.1
0.2,aria,50,100,16000,16,16,8235.6,8235.6
0.3,aria,50,100,16000,16,16,7200.7,7200.7
0.4,aria,50,100,16000,16,16,5539.1,5539.1
0.5,aria,50,100,16000,16,16,3346,3346
0.6,aria,50,100,16000,16,16,1442.7,1442.7
0.7,aria,50,100,16000,16,16,485.7,485.7
0.8,aria,50,100,16000,16,16,225.1,225.1
0.9,aria,50,100,16000,16,16,185.6,185.6
0.0,aria,50,100,2048,16,16,71102.7,71102.7
0.1,aria,50,100,2048,16,16,68426.5,68426.5
0.2,aria,50,100,2048,16,16,65939.5,65939.5
0.3,aria,50,100,2048,16,16,59292.9,59292.9
0.4,aria,50,100,2048,16,16,47214.8,47214.8
0.5,aria,50,100,2048,16,16,28891,28891
0.6,aria,50,100,2048,16,16,12641,12641
0.7,aria,50,100,2048,16,16,4398.9,4398.9
0.8,aria,50,100,2048,16,16,2008.9,2008.9
0.9,aria,50,100,2048,16,16,1652.1,1652.1
0.0,aria,50,100,4096,16,16,34314.8,34314.8
0.1,aria,50,100,4096,16,16,32967.1,32967.1
0.2,aria,50,100,4096,16,16,31555.5,31555.5
0.3,aria,50,100,4096,16,16,28053.6,28053.6
0.4,aria,50,100,4096,16,16,21833.6,21833.6
0.5,aria,50,100,4096,16,16,13102.2,13102.2
0.6,aria,50,100,4096,16,16,5672.6,5672.6
0.7,aria,50,100,4096,16,16,1950.5,1950.5
0.8,aria,50,100,4096,16,16,891.6,891.6
0.9,aria,50,100,4096,16,16,732.8,732.8
0.0,aria,50,10,1024,16,16,1.40032,1.40032
0.1,aria,50,10,1024,16,16,1.11935,1.11935
0.2,aria,50,10,1024,16,16,1.11414,1.11414
0.3,aria,50,10,1024,16,16,1.11247,1.11247
0.4,aria,50,10,1024,16,16,1.11342,1.11342
0.5,aria,50,10,1024,16,16,1.10156,1.10156
0.6,aria,50,10,1024,16,16,1.08008,1.08008
0.7,aria,50,10,1024,16,16,993250,993250
0.8,aria,50,10,1024,16,16,784422,784422
0.9,aria,50,10,1024,16,16,474174,474174
0.0,aria,50,10,16000,16,16,1.03818,1.03818
0.1,aria,50,10,16000,16,16,863841,863841
0.2,aria,50,10,16000,16,16,860524,860524
0.3,aria,50,10,16000,16,16,849000,849000
0.4,aria,50,10,16000,16,16,832440,832440
0.5,aria,50,10,16000,16,16,785353,785353
0.6,aria,50,10,16000,16,16,679850,679850
0.7,aria,50,10,16000,16,16,507583,507583
0.8,aria,50,10,16000,16,16,255442,255442
0.9,aria,50,10,16000,16,16,144082,144082
0.0,aria,50,10,2048,16,16,1.39937,1.39937
0.1,aria,50,10,2048,16,16,1.11418,1.11418
0.2,aria,50,10,2048,16,16,1.11289,1.11289
0.3,aria,50,10,2048,16,16,1.11112,1.11112
0.4,aria,50,10,2048,16,16,1.11165,1.11165
0.5,aria,50,10,2048,16,16,1.09645,1.09645
0.6,aria,50,10,2048,16,16,1.05068,1.05068
0.7,aria,50,10,2048,16,16,924313,924313
0.8,aria,50,10,2048,16,16,680178,680178
0.9,aria,50,10,2048,16,16,385710,385710
0.0,aria,50,10,4096,16,16,1.35204,1.35204
0.1,aria,50,10,4096,16,16,1.07865,1.07865
0.2,aria,50,10,4096,16,16,1.08488,1.08488
0.3,aria,50,10,4096,16,16,1.07811,1.07811
0.4,aria,50,10,4096,16,16,1.07206,1.07206
0.5,aria,50,10,4096,16,16,1.04927,1.04927
0.6,aria,50,10,4096,16,16,945915,945915
0.7,aria,50,10,4096,16,16,821025,821025
0.8,aria,50,10,4096,16,16,558608,558608
0.9,aria,50,10,4096,16,16,291838,291838
0.0,aria,80,100,1024,16,16,241434,241434
0.1,aria,80,100,1024,16,16,231714,231714
0.2,aria,80,100,1024,16,16,229369,229369
0.3,aria,80,100,1024,16,16,223927,223927
0.4,aria,80,100,1024,16,16,211195,211195
0.5,aria,80,100,1024,16,16,173017,173017
0.6,aria,80,100,1024,16,16,106209,106209
0.7,aria,80,100,1024,16,16,46826.3,46826.3
